impute,inputmatrix,featsel,featext,response,models,penalty
yes,snp,varThreshold,pca,numerical,RF,no
yes,snp,varThreshold,pca,numerical,RF,lasso
yes,snp,varThreshold,pca,numerical,RF,ridge
yes,snp,varThreshold,pca,numerical,NN,no
yes,snp,varThreshold,pca,numerical,NN,lasso
yes,snp,varThreshold,pca,numerical,NN,ridge
yes,snp,varThreshold,tsne,binary,regression,no
yes,snp,varThreshold,tsne,binary,regression,lasso
yes,snp,varThreshold,tsne,binary,regression,ridge
yes,snp,varThreshold,tsne,binary,RF,no
yes,snp,varThreshold,tsne,binary,RF,lasso
yes,snp,varThreshold,tsne,binary,RF,ridge
yes,snp,varThreshold,tsne,binary,NN,no
yes,snp,varThreshold,tsne,binary,NN,lasso
yes,snp,varThreshold,tsne,binary,NN,ridge
yes,snp,varThreshold,tsne,numerical,regression,no
yes,snp,varThreshold,tsne,numerical,regression,lasso
yes,snp,varThreshold,tsne,numerical,regression,ridge
yes,snp,varThreshold,tsne,numerical,RF,no
yes,snp,varThreshold,tsne,numerical,RF,lasso
yes,snp,varThreshold,tsne,numerical,RF,ridge
yes,snp,varThreshold,tsne,numerical,NN,no
yes,snp,varThreshold,tsne,numerical,NN,lasso
yes,snp,varThreshold,tsne,numerical,NN,ridge
no,codon,no,no,binary,regression,no
no,codon,no,no,binary,regression,lasso
no,codon,no,no,binary,regression,ridge
no,codon,no,no,binary,RF,no
no,codon,no,no,binary,RF,lasso
no,codon,no,no,binary,RF,ridge
no,codon,no,no,binary,NN,no
no,codon,no,no,binary,NN,lasso
no,codon,no,no,binary,NN,ridge
no,codon,no,no,numerical,regression,no
no,codon,no,no,numerical,regression,lasso
no,codon,no,no,numerical,regression,ridge
no,codon,no,no,numerical,RF,no
no,codon,no,no,numerical,RF,lasso
no,codon,no,no,numerical,RF,ridge
no,codon,no,no,numerical,NN,no
no,codon,no,no,numerical,NN,lasso
no,codon,no,no,numerical,NN,ridge
no,codon,no,pca,binary,regression,no
no,codon,no,pca,binary,regression,lasso
no,codon,no,pca,binary,regression,ridge
no,codon,no,pca,binary,RF,no
no,codon,no,pca,binary,RF,lasso
no,codon,no,pca,binary,RF,ridge
no,codon,no,pca,binary,NN,no
no,codon,no,pca,binary,NN,lasso
no,codon,no,pca,binary,NN,ridge
no,codon,no,pca,numerical,regression,no
no,codon,no,pca,numerical,regression,lasso
no,codon,no,pca,numerical,regression,ridge
no,codon,no,pca,numerical,RF,no
no,codon,no,pca,numerical,RF,lasso
no,codon,no,pca,numerical,RF,ridge
no,codon,no,pca,numerical,NN,no
no,codon,no,pca,numerical,NN,lasso
no,codon,no,pca,numerical,NN,ridge
no,codon,no,tsne,binary,regression,no
no,codon,no,tsne,binary,regression,lasso
no,codon,no,tsne,binary,regression,ridge
no,codon,no,tsne,binary,RF,no
no,codon,no,tsne,binary,RF,lasso
no,codon,no,tsne,binary,RF,ridge
no,codon,no,tsne,binary,NN,no
no,codon,no,tsne,binary,NN,lasso
no,codon,no,tsne,binary,NN,ridge
no,codon,no,tsne,numerical,regression,no
no,codon,no,tsne,numerical,regression,lasso
no,codon,no,tsne,numerical,regression,ridge
no,codon,no,tsne,numerical,RF,no
no,codon,no,tsne,numerical,RF,lasso
no,codon,no,tsne,numerical,RF,ridge
no,codon,no,tsne,numerical,NN,no
no,codon,no,tsne,numerical,NN,lasso
no,codon,no,tsne,numerical,NN,ridge
no,codon,varThreshold,no,binary,regression,no
no,codon,varThreshold,no,binary,regression,lasso
no,codon,varThreshold,no,binary,regression,ridge
no,codon,varThreshold,no,binary,RF,no
no,codon,varThreshold,no,binary,RF,lasso
no,codon,varThreshold,no,binary,RF,ridge
no,codon,varThreshold,no,binary,NN,no
no,codon,varThreshold,no,binary,NN,lasso
no,codon,varThreshold,no,binary,NN,ridge
no,codon,varThreshold,no,numerical,regression,no
no,codon,varThreshold,no,numerical,regression,lasso
no,codon,varThreshold,no,numerical,regression,ridge
no,codon,varThreshold,no,numerical,RF,no
no,codon,varThreshold,no,numerical,RF,lasso
no,codon,varThreshold,no,numerical,RF,ridge
no,codon,varThreshold,no,numerical,NN,no
no,codon,varThreshold,no,numerical,NN,lasso
no,codon,varThreshold,no,numerical,NN,ridge
no,codon,varThreshold,pca,binary,regression,no
no,codon,varThreshold,pca,binary,regression,lasso
no,codon,varThreshold,pca,binary,regression,ridge
no,codon,varThreshold,pca,binary,RF,no
no,codon,varThreshold,pca,binary,RF,lasso
no,codon,varThreshold,pca,binary,RF,ridge
no,codon,varThreshold,pca,binary,NN,no
no,codon,varThreshold,pca,binary,NN,lasso
no,codon,varThreshold,pca,binary,NN,ridge
no,codon,varThreshold,pca,numerical,regression,no
no,codon,varThreshold,pca,numerical,regression,lasso
no,codon,varThreshold,pca,numerical,regression,ridge
no,codon,varThreshold,pca,numerical,RF,no
