accuracy,balanced_accuracy,precision,recall,f1,file,encode,model
0.6111111111111112,0.7053571428571428,0.35,0.875,0.4999999999999999,o_n_v_p.npy,False,logistic
0.6388888888888888,0.6785714285714286,0.35294117647058826,0.75,0.48,i_n_-_p.npy,False,logistic
0.7222222222222222,0.5982142857142857,0.375,0.375,0.375,i_c_v_-.npy,False,logistic
0.5833333333333334,0.6875,0.3333333333333333,0.875,0.48275862068965514,o_n_v_t.npy,False,logistic
0.5555555555555556,0.6696428571428572,0.3181818181818182,0.875,0.4666666666666667,o_n_x_p.npy,False,logistic
0.6666666666666666,0.6964285714285714,0.375,0.75,0.5,o_n_x_s.npy,False,logistic
0.5555555555555556,0.5803571428571428,0.2777777777777778,0.625,0.3846153846153846,i_c_-_s.npy,False,logistic
0.6666666666666666,0.6517857142857143,0.35714285714285715,0.625,0.45454545454545453,i_c_v_s.npy,False,logistic
0.5833333333333334,0.6428571428571428,0.3157894736842105,0.75,0.44444444444444436,i_c_x_p.npy,False,logistic
0.6388888888888888,0.7232142857142857,0.3684210526315789,0.875,0.5185185185185185,o_c_-_p.npy,False,logistic
0.6944444444444444,0.7142857142857143,0.4,0.75,0.5217391304347827,o_c_v_s.npy,False,logistic
0.7777777777777778,0.7678571428571428,0.5,0.75,0.6,o_c_v_-.npy,False,logistic
0.4166666666666667,0.35714285714285715,0.11764705882352941,0.25,0.15999999999999998,i_n_v_t.npy,False,logistic
0.4444444444444444,0.2857142857142857,0.0,0.0,0.0,i_c_-_t.npy,False,logistic
0.8055555555555556,0.6964285714285714,0.5714285714285714,0.5,0.5333333333333333,o_n_-_-.npy,False,logistic
0.6388888888888888,0.6785714285714286,0.35294117647058826,0.75,0.48,i_n_v_s.npy,False,logistic
0.75,0.75,0.46153846153846156,0.75,0.5714285714285714,o_n_-_s.npy,False,logistic
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_-_p.npy,False,rf
0.75,0.48214285714285715,0.0,0.0,0.0,o_n_x_t.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_-_t.npy,False,rf
0.7777777777777778,0.5446428571428572,0.5,0.125,0.2,o_c_x_-.npy,False,rf
0.7222222222222222,0.4642857142857143,0.0,0.0,0.0,i_n_-_s.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_-_p.npy,False,rf
0.7777777777777778,0.5446428571428572,0.5,0.125,0.2,o_n_v_-.npy,False,rf
0.75,0.48214285714285715,0.0,0.0,0.0,o_c_x_t.npy,False,rf
0.8055555555555556,0.6517857142857143,0.6,0.375,0.4615384615384615,o_c_x_s.npy,False,rf
0.75,0.48214285714285715,0.0,0.0,0.0,i_n_x_t.npy,False,rf
0.75,0.5714285714285714,0.4,0.25,0.3076923076923077,o_n_v_s.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_x_p.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_v_p.npy,False,rf
0.8055555555555556,0.5625,1.0,0.125,0.2222222222222222,i_c_x_t.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_v_p.npy,False,rf
0.7777777777777778,0.5892857142857143,0.5,0.25,0.3333333333333333,i_c_-_-.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_x_p.npy,False,rf
0.6944444444444444,0.44642857142857145,0.0,0.0,0.0,i_n_x_s.npy,False,rf
0.7777777777777778,0.5892857142857143,0.5,0.25,0.3333333333333333,i_n_x_-.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_v_p.npy,False,rf
0.8333333333333334,0.6696428571428572,0.75,0.375,0.5,o_n_x_-.npy,False,rf
0.75,0.48214285714285715,0.0,0.0,0.0,i_n_-_t.npy,False,rf
0.7777777777777778,0.5892857142857143,0.5,0.25,0.3333333333333333,i_n_v_-.npy,False,rf
0.8333333333333334,0.625,1.0,0.25,0.4,o_n_-_t.npy,False,rf
0.75,0.48214285714285715,0.0,0.0,0.0,o_c_v_t.npy,False,rf
0.8055555555555556,0.6071428571428572,0.6666666666666666,0.25,0.36363636363636365,i_c_x_-.npy,False,rf
0.7222222222222222,0.4642857142857143,0.0,0.0,0.0,i_c_x_s.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_v_t.npy,False,rf
0.8055555555555556,0.6517857142857143,0.6,0.375,0.4615384615384615,o_c_-_s.npy,False,rf
0.75,0.5267857142857143,0.3333333333333333,0.125,0.18181818181818182,o_c_-_-.npy,False,rf
0.75,0.5267857142857143,0.3333333333333333,0.125,0.18181818181818182,i_n_-_-.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_v_p.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_n_-_p.npy,False,rf
0.7777777777777778,0.5892857142857143,0.5,0.25,0.3333333333333333,i_c_v_-.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_v_t.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_n_x_p.npy,False,rf
0.75,0.6160714285714286,0.42857142857142855,0.375,0.39999999999999997,o_n_x_s.npy,False,rf
0.7777777777777778,0.5446428571428572,0.5,0.125,0.2,i_c_-_s.npy,False,rf
0.7777777777777778,0.5446428571428572,0.5,0.125,0.2,i_c_v_s.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_x_p.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,o_c_-_p.npy,False,rf
0.8055555555555556,0.6517857142857143,0.6,0.375,0.4615384615384615,o_c_v_s.npy,False,rf
0.7777777777777778,0.5446428571428572,0.5,0.125,0.2,o_c_v_-.npy,False,rf
0.75,0.48214285714285715,0.0,0.0,0.0,i_n_v_t.npy,False,rf
0.7777777777777778,0.5,0.0,0.0,0.0,i_c_-_t.npy,False,rf
0.7777777777777778,0.5446428571428572,0.5,0.125,0.2,o_n_-_-.npy,False,rf
0.75,0.48214285714285715,0.0,0.0,0.0,i_n_v_s.npy,False,rf
0.7777777777777778,0.6339285714285714,0.5,0.375,0.42857142857142855,o_n_-_s.npy,False,rf
